"EPCI","LIBEPCI","NATURE_EPCI"
"200027217","CC Sarlat-Périgord Noir","CC"
"200027225","CC la Brie des Morin","CC"
"200027274","CC du Coeur de la Brie","CC"
"200027308","CC d'Auberive Vingeanne et Montsaugeonnais","CC"
"200027399","CC Fumel communauté","CC"
"200027548","CC des Savanes","CC"
"200029734","CC des 4B","CC"
"200029999","CC Rives de l'Ain - Pays du Cerdon","CC"
"200030104","CC Les terres du Gâtinais","CC"
"200030195","Métropole Nice Côte d'Azur","ME"
"200030229","CC du Val des Mauves","CC"
"200030385","CA de Blois Agglopolys","CA"
"200030435","CC d'Aire sur l'Adour","CC"
"200030518","CC entre Somme et Loire","CC"
"200030526","CC du Ried de Marckolsheim","CC"
"200030559","CC du Betz et de la Cléry","CC"
"200030583","CC de la Région de Haguenau","CC"
"200030633","CC du Caudrésis et du Catésis","CC"
"200030658","CC du Trièves","CC"
"200030674","CA Val de Garonne Agglomération","CA"
"200030716","CC du Grand Roye","CC"
"200032514","CC Berry-Loire-Vauvise","CC"
"200033025","CA de Bar-le-Duc - Sud Meuse","CA"
"200033090","CC Plaines et monts de France","CC"
"200033116","CC Cluses-Arve et Montagnes","CC"
"200033124","CC LINTERCOM Lisieux-Pays d'Auge-Normandie","CC"
"200033157","CA Caen la mer","CA"
"200033173","CC de la Haute Vallée de Chevreuse","CC"
"200033181","CA Chartres Métropole","CA"
"200033199","CC Coteaux du Vexin","CC"
"200033207","CC Vierzon-Sologne-Berry","CC"
"200033215","CC Maisons-Mesnil","CC"
"200033298","CC des Coëvrons","CC"
"200033371","CA Europ'Essonne (CAEE)","CA"
"200033413","CA Seine Amont","CA"
"200033520","CC du Brannais","CC"
"200033538","CC Les Avant-Monts du Centre Hérault","CC"
"200033579","CU d'Arras","CU"
"200033686","CA Reims Métropole","CA"
"200033827","CC de Fium'Orbu Castellu","CC"
"200033868","CC des Ballons des Hautes-Vosges","CC"
"200034023","CC Tarn-Agout","CC"
"200034031","CC des Monts d'Alban et du Villefranchois","CC"
"200034049","CC Centre Tarn","CC"
"200034056","CC du Lautrécois et du Pays d'Agout","CC"
"200034064","CC du Cordais et du Causse (4 C)","CC"
"200034098","CC des Montagnes du Griffe","CC"
"200034130","CC Gally Mauldre","CC"
"200034197","CC de Montaigne Montravel et Gurson","CC"
"200034205","CC de la Costa Verde","CC"
"200034270","CC Barr-Bernstein","CC"
"200034288","CC du Pays de Marmoutier-Sommerau","CC"
"200034353","CC Coeur de Puisaye","CC"
"200034361","CA d'Epinal","CA"
"200034379","CC Pays d'Uzès","CC"
"200034411","CC du Piémont Cévenol","CC"
"200034601","CC Causses Aigoual Cévennes","CC"
"200034635","CC du Kochersberg","CC"
"200034676","CC La Ferté-St Michel","CC"
"200034684","CC du Bassin de Neufchâteau","CC"
"200034692","CA du Gard Rhodanien","CA"
"200034700","CA Durance-Lubéron-Verdon Agglomération","CA"
"200034718","CC de Vitry, Champagne et Der","CC"
"200034726","CC Bastides de Lomagne","CC"
"200034817","CA Bergeracoise","CA"
"200034825","CA du Grand Guéret","CA"
"200034833","CC des Bastides Dordogne-Périgord","CC"
"200034841","CC du Sullias","CC"
"200034874","CC Côtes de Meuse Woëvre","CC"
"200034882","CC Pays du Mont-Blanc","CC"
"200034916","CC Asse-Bléone-Verdon","CC"
"200034924","CC Les Portes du Poitou","CC"
"200034957","CC du Frontonnais","CC"
"200035020","CC de Billom - Saint-Dier / Vallée du Jauron","CC"
"200035087","CA Rhône Alpilles Durance","CA"
"200035103","CC de la Vallée de la Haute Sarthe","CC"
"200035111","CC des Sources de l'Orne","CC"
"200035129","CC de Cèze Cévennes","CC"
"200035137","CC Marche Occitane - Val d'Anglin","CC"
"200035152","CA Alès Agglomération","CA"
"200035178","CC du Pays de Saint-Eloy","CC"
"200035202","CC Charlieu-Belmont Communauté","CC"
"200035210","CC Chalaronne Centre","CC"
"200035228","CC du Pays de Pont de Roide","CC"
"200035251","CC di e tre pieve : Boziu, Mercoriu e Rogna","CC"
"200035269","CC Chambaran Vinay Vercors","CC"
"200035319","CA Var Esterel Méditérranée (CAVEM)","CA"
"200035327","CC Cazals-Salviac","CC"
"200035426","CC La Porte des Vallées","CC"
"200035434","CC Les Vertes Collines du Saint-Polois","CC"
"200035442","CC du Sud-Artois","CC"
"200035459","CA d'Agen","CA"
"200035533","CC du Grand Saint Emilonnais","CC"
"200035541","CC des Landes d'Armagnac","CC"
"200035566","CC Portes de Puisaye Forterre","CC"
"200035590","CC Pays de Coulommiers","CC"
"200035632","CC Armagnac Adour","CC"
"200035665","CA Seine Eure","CA"
"200035699","CC du Haut Trégor","CC"
"200035707","CC Piège Lauragais Malepère","CC"
"200035715","CA Carcassonne Agglo","CA"
"200035723","CC Ventoux-Sud","CC"
"200035731","CA Roannais Agglomération","CA"
"200035749","CA Marne la Vallée - Val Maubuée","CA"
"200035756","CC Astarac Arros en Gascogne","CC"
"200035764","CC de la Beauce Loirétaine","CC"
"200035772","CC du pays du Saintois","CC"
"200035780","CC Plancoët-Plélan","CC"
"200035806","CC de Hazelle en Haye","CC"
"200035814","CA du Pays de Flers","CA"
"200035848","CC du Châtillonnais en Berry","CC"
"200035855","CC Castelnaudary Lauragais Audois","CC"
"200035863","CC Région Lézignanaise, Corbières et Minervois","CC"
"200035871","CC des Corbières","CC"
"200035939","CC Terres du Grand Meaulnes","CC"
"200035954","CC du Grand Langres","CC"
"200035970","CC Vexin Centre","CC"
"200035988","CC du canton de Tinchebray","CC"
"200035996","CC des Vallées du Merlerault","CC"
"200036002","CC des Courbes de l'Orne","CC"
"200036051","CC de la Conca d'Oro","CC"
"200036069","CC du Bassin de Mortagne au Perche","CC"
"200036077","CC du Golfe de Saint-Tropez","CC"
"200036093","CA Roissy Porte de France","CA"
"200036135","CC Coeur de France","CC"
