"id","code_insee","code_postal","ville"
167,"01180","01220","GRILLY"
168,"01181","01100","GROISSIAT"
169,"01182","01680","GROSLEE"
170,"01183","01090","GUEREINS"
171,"01184","01250","HAUTECOURT ROMANECHE"
172,"01185","01110","HAUTEVILLE LOMPNES"
173,"01186","01110","HOSTIAZ"
174,"01187","01260","HOTONNES"
175,"01188","01140","ILLIAT"
176,"01189","01200","INJOUX GENISSIAT"
177,"01190","01680","INNIMOND"
178,"01191","01430","IZENAVE"
179,"01192","01580","IZERNORE"
180,"01193","01300","IZIEU"
181,"01194","01480","JASSANS RIOTTIER"
182,"01195","01250","JASSERON"
183,"01196","01340","JAYAT"
184,"01197","01250","JOURNANS"
185,"01198","01800","JOYEUX"
186,"01199","01640","JUJURIEUX"
187,"01200","01450","LABALME"
188,"01202","01150","LAGNIEU"
189,"01203","01290","LAIZ"
190,"01204","01130","LALLEYRIAT"
191,"01205","01200","LANCRANS"
192,"01206","01430","LANTENAY"
193,"01207","01330","LAPEYROUSE"
194,"01208","01350","LAVOURS"
195,"01209","01200","LEAZ"
196,"01210","01410","LELEX"
197,"01211","01240","LENT"
198,"01212","01560","LESCHEROUX"
199,"01213","01150","LEYMENT"
200,"01214","01450","LEYSSARD"
201,"01215","01420","LHOPITAL"
202,"01216","01680","LHUIS"
203,"01218","01260","LOCHIEU"
204,"01219","01680","LOMPNAS"
205,"01221","01260","LOMPNIEU"
206,"01224","01360","LOYETTES"
207,"01225","01090","LURCY"
208,"01227","01300","MAGNIEU"
209,"01228","01430","MAILLAT"
210,"01229","01340","MALAFRETAZ"
211,"01230","01560","MANTENAY MONTLIN"
212,"01231","01570","MANZIAT"
213,"01232","01851","MARBOZ"
214,"01233","01680","MARCHAMP"
215,"01234","01300","MARIGNIEU"
216,"01235","01240","MARLIEUX"
217,"01236","01340","MARSONNAS"
218,"01237","01100","MARTIGNAT"
219,"01238","01600","MASSIEUX"
220,"01239","01300","MASSIGNIEU DE RIVES"
221,"01240","01580","MATAFELON GRANGES"
222,"01241","01370","MEILLONNAS"
223,"01242","01450","MERIGNAT"
224,"01243","01480","MESSIMY SUR SAONE"
225,"01244","01800","MEXIMIEUX"
226,"01245","01250","BOHAS MEYRIAT RIGNAT"
227,"01246","01660","MEZERIAT"
228,"01247","01170","MIJOUX"
229,"01247","01410","MIJOUX"
